URL,80,443
http://0-v3dev-cdn.hackthissite.org,X,,
http://0-v3stage-cdn.hackthissite.org,X,,
http://1-v3dev-cdn.hackthissite.org,X,,
http://1-v3stage-cdn.hackthissite.org,X,,
http://2-v3dev-cdn.hackthissite.org,X,,
http://2-v3stage-cdn.hackthissite.org,X,,
http://3-v3dev-cdn.hackthissite.org,X,,
http://3-v3stage-cdn.hackthissite.org,X,,
http://4-v3dev-cdn.hackthissite.org,X,,
http://4-v3stage-cdn.hackthissite.org,X,,
http://ctf.hackthissite.org,X,,
http://forums.hackthissite.org,X,,
http://h5ai.hackthissite.org,X,,
http://hackthissite.org,X,,
http://hp.hackthissite.org,X,,
http://hub.irc.hackthissite.org,X,,
http://irc.hackthissite.org,X,,
http://irc-hub.hackthissite.org,X,,
http://irc-lille.hackthissite.org,X,,
http://irc-wolf.hackthissite.org,X,,
http://irc-www.hackthissite.org,X,,
http://lille.irc.hackthissite.org,X,,
http://mirror.hackthissite.org,X,,
http://psrp.hackthissite.org,X,,
http://qdb.hackthissite.org,X,,
https://ctf.hackthissite.org,,X,
https://h5ai.hackthissite.org,,X,
https://hackthissite.org,,X,
https://irc.hackthissite.org,,X,
https://irc-lille.hackthissite.org,,X,
https://irc-wolf.hackthissite.org,,X,
https://legal.hackthissite.org,,X,
https://lille.irc.hackthissite.org,,X,
https://status.hackthissite.org,,X,
http://stats.hackthissite.org,X,,
https://wolf.irc.hackthissite.org,,X,
https://www.hackthissite.org,,X,
https://www.irc.hackthissite.org,,X,
http://v3dev-cdn.hackthissite.org,X,,
http://v3dev.hackthissite.org,X,,
http://v3stage-cdn.hackthissite.org,X,,
http://wolf.irc.hackthissite.org,X,,
http://www.hackthissite.org,X,,
http://www.irc.hackthissite.org,X,,
